RecordID,fProfit
1,76564.8750660582
2,96164.0313252464
3,70018.9981467188
4,58860.2216081075
5,55606.8347553356
6,55025.1504615631
7,70874.4381563702
8,56894.0414061876
9,46430.7620006216
10,53273.4758910029
11,59231.8691002106
12,71060.7579218238
13,65190.9638283002
14,69697.4272805379
15,73402.2784142918
16,59300.3265550086
17,60164.786501807
18,65627.0458279509
19,69758.1708568528
20,79256.2119918519
21,65332.6778394369
22,69364.8433652634
23,68903.4752740776
24,51923.1603610881
25,66441.1774598546
26,60294.6399321643
27,68114.8901711014
28,57959.6850781596
29,61654.9958903896
30,57693.260675714
31,51726.7881990531
32,79734.8215967584
33,64569.8575002337
34,88798.2186242442
35,67831.9295936128
36,59700.8438716944
37,66926.3654802897
38,67129.201446342
39,53817.4916982622
40,71528.6815313457
41,57072.5682708836
42,57304.0829786316
43,55150.9626642097
44,69994.4978631563
45,58633.8579016124
46,67613.4900275276
47,52676.7485177703
48,72660.1890375387
49,54554.3224495061
50,82321.1801653874
51,55092.5266987181
52,58338.2632216541
53,61117.2164596762
54,48537.5336697772
55,60549.9817934136
56,67121.9779598234
57,102176.17735755
58,59944.3960432926
59,66298.3954737958
60,110581.10650804
61,64054.9464912431
62,73512.9255949359
63,65322.5552297048
64,57000.0625290005
65,60078.983197553
66,57843.5961310697
67,72194.262273982
68,53337.8260002847
69,78208.6197792494
70,71005.4113053826
71,58687.5650716938
72,58550.3221599884
73,64338.5303674621
74,68613.5018940893
75,60467.7221095892
76,64102.8188039633
77,56561.1622045479
78,53310.6019161443
79,83649.1656670256
80,54983.7122633401
81,122003.025203956
82,56709.6543981205
83,67638.0984815788
84,83556.909508141
85,60845.8323895527
86,62929.1197896249
87,58013.7288877236
88,68802.5314305225
89,68487.3466580036
90,57748.2587735425
91,54723.5814561728
92,61368.2692689006
93,52840.1354867083
94,61696.4049641017
95,58024.6675040947
96,61352.2632569891
97,72176.1872335475
98,51505.7714565447
99,63899.472426621
100,59059.1213119416
101,50734.6334021793
102,53199.6574674275
103,58970.1260298336
104,81872.4146506928
105,70211.3083503748
106,81661.5803163989
107,46718.5485943192
108,60599.5153032486
109,59984.1426295625
110,51598.5547473598
111,54372.4966448809
112,52580.8983124971
113,64509.616395505
114,64308.3191435074
115,68014.063821359
116,59275.1490554672
117,48336.2119302373
118,68383.1445733111
119,83482.5972109649
120,61101.4119058572
121,251355.198652629
122,64121.0327571183
123,52036.6106528951
124,55273.8138873057
125,61796.3831578113
126,57457.2004054328
127,54085.8531556318
128,70849.4986706507
129,53540.4085549115
130,70746.6517689489
131,68627.1385608124
132,53205.8677622495
133,55485.4892561865
134,48721.2499336298
135,57671.1920443901
136,107856.870375753
137,51051.4621649558
138,60253.3420242189
139,59405.708084668
140,55653.4405778244
141,72003.6574397519
142,70149.6325989298
143,61657.7012081549
144,54001.7177488349
145,58225.8802433851
146,55702.1337252332
147,48982.9784819612
148,58399.4624836747
149,63221.7916563273
150,62105.7030288129
151,54238.8675618701
152,68847.2319175247
153,70464.8721584265
154,71554.5479727882
155,67776.9814339261
156,81663.7988266566
157,54388.5570933743
158,66586.2339507068
159,58555.1482273253
160,59343.7240292133
161,62119.2743837647
162,43130.3718567095
163,58317.1112479051
164,57257.1811561252
165,53576.3817846298
166,80729.6546711149
167,62791.9023916603
168,55332.5079724248
169,70520.9802808171
170,63428.0317162237
171,56567.6305683728
172,52776.7451475619
173,68486.5549144664
174,68666.0933919038
175,61403.7560617526
176,62189.8847824221
177,57830.8439299553
178,73011.6619725237
179,54100.0599164915
180,65919.6352385006
181,61227.0975100236
182,58965.0589539366
183,56582.6370987719
184,76387.487893375
185,63324.9750512077
186,53023.8520256448
187,49380.4345327125
188,69683.9336467593
189,54484.26748736
190,52844.9617261775
191,64022.9222050563
192,58467.446048844
193,66496.0952482048
194,84851.8355432995
195,55366.4026166316
196,72771.1853970118
197,55638.0223907498
198,50497.4522581682
199,63356.3155969129
200,54293.6437754628
201,73704.8142397906
202,64777.9074511844
203,54665.8618026707
204,64298.8689804039
205,59370.8907556743
206,56346.3458349725
207,67287.3296700129
208,56325.0980534388
209,124208.399436134
